title,full_time,part_time,requirements,distance
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.7
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.9
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.9
Production Team Member,True,True,[],0.9
Team Member,True,True,[],0.9
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",0.9
Team Member,True,True,"['Demonstrate a passion for hospitality and creating exceptional Guest experiences.', 'Be able to work under pressure while maintaining food safety standards.', 'Have a passion for serving, making food and beverages and good time management.', 'Be able to learn how to operate various equipment, carry boxes up to 25lbs, working in cold environment as freezer/ fridge.', 'Enjoy working with a successful team in a safe environment.', 'Have a strong work ethic, be punctual and responsible.', 'Previous experience in guest service field is an asset.', 'Have or pursuing a post-secondary diploma in Hospitality management or related fields is an asset but not required.', 'Flexible availability is preferred']",1.0
SUPERVISOR,True,True,[],1.1
team member,True,False,[],1.1
Production Team Member,False,True,[],1.1
Restaurant Manager,True,False,"['Customer service background preferred', 'Must be able to lift 25 lbs', 'Previous experience in Quick Service an asset', 'Friendly and outgoing', 'Flexible schedule', 'Previous management experience preferred']",1.1
